iter	Passed	Remaining
749	64502	21500
750	64603	21419
751	64688	21333
752	64763	21243
753	64840	21154
754	64918	21066
755	64993	20976
756	65080	20891
757	65150	20799
758	65230	20712
759	65308	20623
760	65377	20532
761	65465	20447
762	65531	20355
763	65614	20268
764	65699	20182
765	65774	20092
766	65845	20002
767	65922	19914
768	65990	19822
769	66072	19736
770	66153	19648
771	66221	19557
772	66293	19467
773	66361	19376
774	66439	19288
775	66514	19200
776	66581	19108
777	66663	19022
778	66741	18934
779	66818	18846
780	66901	18759
781	66967	18668
782	67041	18579
783	67117	18491
784	67184	18400
785	67264	18313
786	67341	18225
787	67430	18141
788	67510	18054
789	67581	17964
790	67652	17875
791	67734	17788
792	67818	17702
793	67891	17614
794	67967	17526
795	68042	17438
796	68117	17349
797	68194	17262
798	68268	17173
799	68343	17085
800	68411	16996
801	68491	16909
802	68556	16818
803	68632	16731
804	68699	16641
805	68779	16554
806	68858	16467
807	68948	16383
808	69029	16297
809	69094	16207
810	69161	16117
811	69229	16028
812	69314	15943
813	69387	15855
814	69476	15770
815	69556	15684
816	69632	15597
817	69713	15510
818	69802	15426
819	69890	15341
820	69965	15254
821	70061	15171
822	70130	15082
823	70205	14995
824	70278	14907
825	70363	14822
826	70433	14733
827	70502	14645
828	70583	14559
829	70666	14473
830	70734	14385
831	70822	14300
832	70900	14214
833	70971	14126
834	71052	14040
835	71141	13956
836	71215	13868
837	71287	13781
838	71365	13694
839	71444	13608
840	71518	13521
841	71609	13437
842	71686	13350
843	71757	13263
844	71830	13175
845	71914	13090
846	71982	13002
847	72059	12916
848	72141	12830
849	72215	12743
850	72295	12658
851	72369	12571
852	72458	12487
853	72530	12399
854	72613	12314
855	72694	12229
856	72766	12141
857	72859	12058
858	72936	11972
859	73010	11885
860	73088	11799
861	73164	11713
862	73236	11626
863	73304	11538
864	73386	11453
865	73461	11366
866	73536	11280
867	73628	11196
868	73691	11108
869	73779	11024
870	73858	10938
871	73932	10852
872	73999	10765
873	74089	10681
874	74173	10596
875	74256	10511
876	74335	10425
877	74421	10340
878	74499	10255
879	74571	10168
880	74655	10084
881	74730	9997
882	74819	9913
883	74897	9828
884	74971	9742
885	75043	9655
886	75129	9571
887	75215	9486
888	75287	9400
889	75376	9316
890	75452	9230
891	75530	9144
892	75616	9060
893	75718	8977
894	75818	8894
895	75908	8810
896	75987	8725
897	76073	8640
898	76157	8556
899	76237	8470
900	76312	8385
901	76404	8301
902	76486	8216
903	76584	8132
904	76674	8048
905	76778	7965
906	76854	7880
907	76935	7795
908	77013	7709
909	77104	7625
910	77181	7540
911	77260	7454
912	77359	7371
913	77441	7286
914	77531	7202
915	77619	7117
916	77703	7033
917	77796	6949
918	77883	6864
919	77963	6779
920	78038	6693
921	78118	6608
922	78193	6523
923	78270	6437
924	78357	6353
925	78434	6267
926	78508	6182
927	78590	6097
928	78674	6012
