,Date,Stock_Close,Stock_Sum,Stock_Ratio,Stock_Start,Stock_High,Stock_Low,Stock_Vol,Stock_Money,Stock_Market,label
3160,2016-02-23,23620.0,120.0,0.51,23580.0,23780.0,23460.0,147674.0,174000000000.0,171000000000000.0,0.0
3161,2016-02-24,23440.0,-180.0,-0.76,23560.0,23580.0,23220.0,140484.0,165000000000.0,170000000000000.0,1.0
3162,2016-02-25,23580.0,140.0,0.6,23440.0,23740.0,23440.0,133635.0,158000000000.0,171000000000000.0,0.0
3163,2016-02-26,23440.0,-140.0,-0.59,23600.0,23740.0,23440.0,177344.0,209000000000.0,170000000000000.0,1.0
3164,2016-02-29,23560.0,120.0,0.51,23580.0,23880.0,23520.0,288680.0,342000000000.0,171000000000000.0,1.0
3165,2016-03-02,23940.0,380.0,1.61,24000.0,24140.0,23920.0,236372.0,284000000000.0,174000000000000.0,1.0
3166,2016-03-03,24400.0,460.0,1.92,24260.0,24400.0,24040.0,218991.0,265000000000.0,177000000000000.0,0.0
3167,2016-03-04,24300.0,-100.0,-0.41,24400.0,24560.0,24040.0,201490.0,246000000000.0,176000000000000.0,1.0
3168,2016-03-07,24460.0,160.0,0.66,24400.0,24620.0,24300.0,131376.0,160000000000.0,177000000000000.0,0.0
3169,2016-03-08,23840.0,-620.0,-2.53,24460.0,24480.0,23720.0,216202.0,260000000000.0,173000000000000.0,1.0
3170,2016-03-09,23880.0,40.0,0.17,23760.0,23980.0,23540.0,183380.0,218000000000.0,173000000000000.0,1.0
3171,2016-03-10,24500.0,620.0,2.6,24160.0,24720.0,24020.0,283540.0,347000000000.0,178000000000000.0,1.0
3172,2016-03-11,24980.0,480.0,1.96,24500.0,25060.0,24320.0,267225.0,332000000000.0,181000000000000.0,1.0
3173,2016-03-14,25100.0,120.0,0.48,25340.0,25460.0,24980.0,217154.0,274000000000.0,182000000000000.0,0.0
3174,2016-03-15,25060.0,-40.0,-0.16,25100.0,25280.0,24920.0,172808.0,217000000000.0,182000000000000.0,1.0
3175,2016-03-16,25120.0,60.0,0.24,25120.0,25260.0,25060.0,146856.0,185000000000.0,182000000000000.0,1.0
3176,2016-03-17,25260.0,140.0,0.56,25300.0,25920.0,25140.0,246869.0,315000000000.0,183000000000000.0,1.0
3177,2016-03-18,25460.0,200.0,0.79,25560.0,25560.0,25260.0,225314.0,286000000000.0,185000000000000.0,0.0
3178,2016-03-21,25340.0,-120.0,-0.47,25480.0,25580.0,25160.0,181170.0,230000000000.0,184000000000000.0,1.0
3179,2016-03-22,25380.0,40.0,0.16,25340.0,25580.0,25240.0,202872.0,257000000000.0,184000000000000.0,1.0
3180,2016-03-23,25580.0,200.0,0.79,25380.0,25580.0,25240.0,197418.0,251000000000.0,186000000000000.0,1.0
3181,2016-03-24,25640.0,60.0,0.23,25580.0,25800.0,25320.0,218795.0,280000000000.0,186000000000000.0,1.0
3182,2016-03-28,25880.0,120.0,0.47,25760.0,26000.0,25760.0,121218.0,157000000000.0,188000000000000.0,0.0
3183,2016-03-29,25800.0,-80.0,-0.31,25880.0,26000.0,25700.0,172454.0,223000000000.0,187000000000000.0,1.0
3184,2016-03-30,26160.0,360.0,1.4,26200.0,26420.0,26040.0,267605.0,351000000000.0,190000000000000.0,1.0
3185,2016-03-31,26240.0,80.0,0.31,26120.0,26280.0,25960.0,382615.0,500000000000.0,190000000000000.0,0.0
3186,2016-04-01,25580.0,-660.0,-2.52,25980.0,26180.0,25420.0,271156.0,350000000000.0,186000000000000.0,1.0
3187,2016-04-04,26100.0,520.0,2.03,25580.0,26100.0,25580.0,188046.0,244000000000.0,189000000000000.0,0.0
3188,2016-04-05,25200.0,-900.0,-3.45,25980.0,25980.0,25200.0,236319.0,301000000000.0,183000000000000.0,1.0
3189,2016-04-06,25700.0,500.0,1.98,25380.0,25820.0,25360.0,184234.0,236000000000.0,186000000000000.0,0.0
3190,2016-04-07,25380.0,-320.0,-1.25,26000.0,26000.0,25160.0,258795.0,330000000000.0,184000000000000.0,0.0
3191,2016-04-08,24920.0,-460.0,-1.81,25380.0,25380.0,24800.0,251868.0,315000000000.0,181000000000000.0,1.0
3192,2016-04-11,25320.0,400.0,1.61,24920.0,25420.0,24920.0,120693.0,152000000000.0,184000000000000.0,1.0
3193,2016-04-12,25500.0,180.0,0.71,25400.0,25620.0,25320.0,134054.0,171000000000.0,185000000000000.0,1.0
3194,2016-04-14,26000.0,500.0,1.96,26000.0,26040.0,25780.0,335327.0,435000000000.0,189000000000000.0,0.0
3195,2016-04-15,26000.0,0.0,0.0,26180.0,26200.0,25800.0,136599.0,177000000000.0,189000000000000.0,0.0
3196,2016-04-18,25980.0,-20.0,-0.08,25900.0,26100.0,25840.0,128474.0,167000000000.0,188000000000000.0,0.0
3197,2016-04-19,25760.0,-220.0,-0.85,25880.0,25920.0,25660.0,144766.0,187000000000.0,187000000000000.0,1.0
3198,2016-04-20,25980.0,220.0,0.85,25640.0,26000.0,25640.0,171972.0,223000000000.0,188000000000000.0,0.0
3199,2016-04-21,25880.0,-100.0,-0.38,26000.0,26020.0,25760.0,145089.0,188000000000.0,188000000000000.0,0.0
3200,2016-04-22,25600.0,-280.0,-1.08,25880.0,25880.0,25540.0,114830.0,147000000000.0,186000000000000.0,1.0
3201,2016-04-25,25620.0,20.0,0.08,25700.0,25700.0,25420.0,91957.0,118000000000.0,186000000000000.0,1.0
3202,2016-04-26,25920.0,300.0,1.17,25700.0,26100.0,25660.0,166901.0,217000000000.0,188000000000000.0,1.0
3203,2016-04-27,26000.0,80.0,0.31,25880.0,26000.0,25720.0,165946.0,215000000000.0,189000000000000.0,0.0
3204,2016-04-28,25300.0,-700.0,-2.69,26000.0,26000.0,25220.0,293069.0,373000000000.0,184000000000000.0,0.0
